date,gdp
2022-03-22,2132796
2022-03-23,2132796
2022-03-24,2132796
2022-03-25,2132796
2022-03-28,2132796
2022-03-29,2132796
2022-03-30,2132796
2022-03-31,2132796
2022-04-01,2292012
2022-04-04,2292012
2022-04-05,2292012
2022-04-06,2292012
2022-04-07,2292012
2022-04-08,2292012
2022-04-11,2292012
2022-04-12,2292012
2022-04-13,2292012
2022-04-14,2292012
2022-04-15,2292012
2022-04-18,2292012
2022-04-19,2292012
2022-04-20,2292012
2022-04-21,2292012
2022-04-22,2292012
2022-04-25,2292012
2022-04-26,2292012
2022-04-27,2292012
2022-04-28,2292012
2022-04-29,2292012
2022-05-02,2292012
2022-05-03,2292012
2022-05-04,2292012
2022-05-05,2292012
2022-05-06,2292012
2022-05-09,2292012
2022-05-10,2292012
2022-05-11,2292012
2022-05-12,2292012
2022-05-13,2292012
2022-05-16,2292012
2022-05-17,2292012
2022-05-18,2292012
2022-05-19,2292012
2022-05-20,2292012
2022-05-23,2292012
2022-05-24,2292012
2022-05-25,2292012
2022-05-26,2292012
2022-05-27,2292012
2022-05-30,2292012
2022-05-31,2292012
2022-06-01,2292012
2022-06-02,2292012
2022-06-03,2292012
2022-06-06,2292012
2022-06-07,2292012
2022-06-08,2292012
2022-06-09,2292012
2022-06-10,2292012
2022-06-13,2292012
2022-06-14,2292012
2022-06-15,2292012
2022-06-16,2292012
2022-06-17,2292012
2022-06-20,2292012
2022-06-21,2292012
2022-06-22,2292012
2022-06-23,2292012
2022-06-24,2292012
2022-06-27,2292012
2022-06-28,2292012
2022-06-29,2292012
2022-06-30,2292012
2022-07-01,2373152
2022-07-04,2373152
2022-07-05,2373152
2022-07-06,2373152
2022-07-07,2373152
2022-07-08,2373152
2022-07-11,2373152
2022-07-12,2373152
2022-07-13,2373152
2022-07-14,2373152
2022-07-15,2373152
2022-07-18,2373152
2022-07-19,2373152
2022-07-20,2373152
2022-07-21,2373152
2022-07-22,2373152
2022-07-25,2373152
2022-07-26,2373152
2022-07-27,2373152
2022-07-28,2373152
2022-07-29,2373152
2022-08-01,2373152
2022-08-02,2373152
2022-08-03,2373152
2022-08-04,2373152
2022-08-05,2373152
2022-08-08,2373152
2022-08-09,2373152
2022-08-10,2373152
2022-08-11,2373152
2022-08-12,2373152
2022-08-15,2373152
2022-08-16,2373152
2022-08-17,2373152
2022-08-18,2373152
2022-08-19,2373152
2022-08-22,2373152
2022-08-23,2373152
2022-08-24,2373152
2022-08-25,2373152
2022-08-26,2373152
2022-08-29,2373152
2022-08-30,2373152
2022-08-31,2373152
2022-09-01,2373152
2022-09-02,2373152
2022-09-05,2373152
2022-09-06,2373152
2022-09-07,2373152
2022-09-08,2373152
2022-09-09,2373152
2022-09-12,2373152
2022-09-13,2373152
2022-09-14,2373152
2022-09-15,2373152
2022-09-16,2373152
2022-09-19,2373152
2022-09-20,2373152
2022-09-21,2373152
2022-09-22,2373152
2022-09-23,2373152
2022-09-26,2373152
2022-09-27,2373152
2022-09-28,2373152
2022-09-29,2373152
2022-09-30,2373152
2022-10-03,2669131
2022-10-04,2669131
2022-10-05,2669131
2022-10-06,2669131
2022-10-07,2669131
2022-10-10,2669131
2022-10-11,2669131
2022-10-12,2669131
2022-10-13,2669131
2022-10-14,2669131
2022-10-17,2669131
2022-10-18,2669131
2022-10-19,2669131
2022-10-20,2669131
2022-10-21,2669131
2022-10-24,2669131
2022-10-25,2669131
2022-10-26,2669131
2022-10-27,2669131
2022-10-28,2669131
2022-10-31,2669131
2022-11-01,2669131
2022-11-02,2669131
2022-11-03,2669131
2022-11-04,2669131
2022-11-07,2669131
2022-11-08,2669131
2022-11-09,2669131
2022-11-10,2669131
2022-11-11,2669131
2022-11-14,2669131
2022-11-15,2669131
2022-11-16,2669131
2022-11-17,2669131
2022-11-18,2669131
2022-11-21,2669131
2022-11-22,2669131
2022-11-23,2669131
2022-11-24,2669131
2022-11-25,2669131
2022-11-28,2669131
2022-11-29,2669131
2022-11-30,2669131
2022-12-01,2669131
2022-12-02,2669131
2022-12-05,2669131
2022-12-06,2669131
2022-12-07,2669131
2022-12-08,2669131
2022-12-09,2669131
2022-12-12,2669131
2022-12-13,2669131
2022-12-14,2669131
2022-12-15,2669131
2022-12-16,2669131
2022-12-19,2669131
2022-12-20,2669131
2022-12-21,2669131
2022-12-22,2669131
2022-12-23,2669131
2022-12-26,2669131
2022-12-27,2669131
2022-12-28,2669131
2022-12-29,2669131
2022-12-30,2669131
2023-01-02,2300882
2023-01-03,2300882
2023-01-04,2300882
2023-01-05,2300882
2023-01-06,2300882
2023-01-09,2300882
2023-01-10,2300882
2023-01-11,2300882
2023-01-12,2300882
2023-01-13,2300882
2023-01-16,2300882
2023-01-17,2300882
2023-01-18,2300882
2023-01-19,2300882
2023-01-20,2300882
2023-01-23,2300882
2023-01-24,2300882
2023-01-25,2300882
2023-01-26,2300882
2023-01-27,2300882
2023-01-30,2300882
2023-01-31,2300882
2023-02-01,2300882
2023-02-02,2300882
2023-02-03,2300882
2023-02-06,2300882
